control_id,control_name,control_description,mapped_risk_id,control_type,implementation_status,effectiveness,evidence,gap_description,risk_level_after_control,iso_clause,nist_function
C-01,Privileged Access Management,Privileged accounts should be strictly controlled and reviewed quarterly,R-01,Preventive,Partial,Needs Improvement,Admin access list exists,MFA not enforced on all admin accounts,High,A.9.4,Protect
C-02,Access Control Policy,Access to systems should be restricted based on business need-to-know,R-03,Preventive,Partial,Needs Improvement,Role-based access defined,Access reviews not conducted periodically,High,A.9.1,Protect
C-03,Incident Response Plan,Formal incident response procedures should be established and tested annually,R-02,Corrective,Implemented,Effective,IR plan document v2.1,Tabletop exercise completed Q4 2024,Medium,A.5.25,Respond
C-04,Information Security Policy,Information security policies should be approved by management and communicated,R-04,Preventive,Partial,Needs Improvement,Draft policy available,Policies not formally approved or communicated,Medium,A.5.1,Identify
C-05,Logging and Monitoring (SIEM),Event logs should be recorded and centrally monitored via SIEM,R-15,Detective,Missing,Ineffective,None,No centralized monitoring or SIEM alerting,High,A.8.15,Detect
C-06,Security Awareness Training,All employees should receive annual phishing and security awareness training,R-03,Preventive,Missing,Ineffective,None,No formal security training program in place,High,A.6.3,Protect
C-07,Email Filtering and Anti-Phishing,Advanced email filtering to block phishing and malicious attachments,R-05,Preventive,Partial,Needs Improvement,Basic spam filter active,No sandboxing or advanced threat protection,High,A.8.7,Protect
C-08,Endpoint Detection and Response (EDR),EDR solution deployed on all endpoints to detect and respond to threats,R-05,Detective,Missing,Ineffective,None,No EDR solution deployed on endpoints,Critical,A.8.7,Detect
C-09,Vendor Risk Management,Third-party vendors assessed for security posture before onboarding,R-06,Preventive,Missing,Ineffective,None,No formal vendor assessment questionnaire used,Critical,A.5.22,Identify
C-10,DDoS Mitigation,Cloud-based DDoS protection and traffic scrubbing for web applications,R-07,Preventive,Implemented,Effective,Cloudflare Pro configured,DDoS WAF rules active and tuned,Medium,A.8.20,Protect
C-11,Data Loss Prevention (DLP),DLP tools to prevent unauthorized data exfiltration via email or USB,R-08,Preventive,Missing,Ineffective,None,No DLP policy or technology deployed,High,A.8.11,Protect
C-12,Patch Management Program,Monthly vulnerability scanning and patch application within 30-day SLA,R-09,Preventive,Partial,Needs Improvement,Quarterly patching for critical systems,Legacy systems on extended support without patches,High,A.8.8,Protect
C-13,Password Policy Enforcement,Enforce minimum 12-character passwords with complexity and MFA,R-10,Preventive,Partial,Needs Improvement,Password policy document exists,Not enforced technically via AD Group Policy,Medium,A.9.4,Protect
C-14,Encrypted Backup and Recovery,All backups encrypted at rest and recovery tested quarterly,R-11,Recovery,Implemented,Effective,AES-256 encryption on cloud backups,Backup restoration tested Q3 2024,Low,A.8.13,Recover
C-15,Business Continuity Plan (BCP),BCP and DR plan covering recovery of critical systems within RTO/RPO targets,R-12,Recovery,Partial,Needs Improvement,BCP draft v1.0,BCP not tested or formally approved,Medium,A.5.29,Recover
